date	YEAR	TIME_PRECISION	EVENT_TYPE	INTER2	INTERACTION	COUNTRY	ADM_LEVEL_1	ADM_LEVEL_2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	pro1	pro2	latlong
3/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	33	27.19351003	"27.193510033,2.46069"
4/1/2015	2015	1	Riots/Protests	0	50	Algeria	Béjaïa	Souk el Tenine	36.62656	5.33388	1		0	34	36.62656003	"36.626560034,5.33388"
4/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	35	27.19351004	"27.193510035,2.46069"
5/1/2015	2015	1	Riots/Protests	0	50	Algeria	Béjaïa	Souk el Tenine	36.62656	5.33388	1		0	36	36.62656004	"36.626560036,5.33388"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Illizi	Djanet	24.55274	9.48582	1		0	37	24.55274004	"24.552740037,9.48582"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Illizi	Debdeb	29.83333	8.16667	1		0	38	29.83333004	"29.833330038,8.16667"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Laghouat	Laghouat	33.8	2.86514	1		0	39	33.80039	"33.80039,2.86514"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Ouargla	Ouargla	31.96644	5.34205	1		0	40	31.96644004	"31.966440040,5.34205"
5/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	41	27.19351004	"27.193510041,2.46069"
5/1/2015	2015	2	Riots/Protests	0	50	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	2		0	42	22.7850042	"22.7850042,5.5228"
6/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	43	27.19351004	"27.193510043,2.46069"
6/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	Tamenghasset	22.785	5.5228	1		0	44	22.7850044	"22.7850044,5.5228"
7/1/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	45	27.19351005	"27.193510045,2.46069"
3/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	103	27.1935101	"27.193510103,2.46069"
4/2/2015	2015	1	Riots/Protests	0	60	Algeria	Tamanghasset	In Salah	27.19351	2.46069	1		0	104	27.1935101	"27.193510104,2.46069"
